ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
1026438DFFCA9FB1,classic_bike,10/9/2022 10:58,10/9/2022 12:01,LaSalle St & Illinois St,13430,Desplaines St & Jackson Blvd,15539,41.890762,-87.631697,41.8781189,-87.6439476,casual
D691D4DE5C98DA8B,electric_bike,10/24/2022 16:08,10/24/2022 16:47,Broadway & Ridge Ave,15578,Stetson Ave & South Water St,TA1308000029,41.984056,-87.6602555,41.886835,-87.62232,member
BF368F2E654AAAB9,classic_bike,10/22/2022 16:04,10/22/2022 16:13,LaSalle St & Illinois St,13430,Stetson Ave & South Water St,TA1308000029,41.890762,-87.631697,41.886835,-87.62232,member
A5212E638A139F64,classic_bike,10/30/2022 3:04,10/30/2022 3:15,Wells St & Hubbard St,TA1307000151,Desplaines St & Jackson Blvd,15539,41.889906,-87.634266,41.8781189,-87.6439476,casual
D779445EAA4F0D96,classic_bike,10/13/2022 17:26,10/13/2022 17:34,Wells St & Hubbard St,TA1307000151,McClurg Ct & Ohio St,TA1306000029,41.889906,-87.634266,41.89259212,-87.61728913,member
DA9CE08A9AEDA5FD,electric_bike,10/13/2022 10:34,10/13/2022 10:40,Wells St & Hubbard St,TA1307000151,Stetson Ave & South Water St,TA1308000029,41.88988233,-87.63426233,41.886835,-87.62232,member
1D10B0881D7E93B6,classic_bike,10/28/2022 17:36,10/28/2022 17:41,LaSalle St & Illinois St,13430,McClurg Ct & Ohio St,TA1306000029,41.890762,-87.631697,41.89259212,-87.61728913,member
BA3478F927EBFCA5,electric_bike,10/9/2022 21:36,10/9/2022 21:43,LaSalle St & Illinois St,13430,McClurg Ct & Ohio St,TA1306000029,41.890706,-87.63130283,41.89259212,-87.61728913,member
B2F9FD0B0179BC30,classic_bike,10/8/2022 16:52,10/8/2022 16:57,Desplaines St & Kinzie St,TA1306000003,Desplaines St & Jackson Blvd,15539,41.88871604,-87.64444785,41.8781189,-87.6439476,member
B6A977F6A2CBACE2,electric_bike,10/5/2022 9:05,10/5/2022 9:12,Wells St & Hubbard St,TA1307000151,Stetson Ave & South Water St,TA1308000029,41.88998183,-87.63433183,41.886835,-87.62232,member
99B55B8E082A734D,electric_bike,10/26/2022 17:19,10/26/2022 17:25,Wells St & Hubbard St,TA1307000151,McClurg Ct & Ohio St,TA1306000029,41.89035523,-87.63420248,41.89259212,-87.61728913,member
08236BBE101F00AB,classic_bike,10/12/2022 20:00,10/12/2022 20:05,LaSalle St & Illinois St,13430,McClurg Ct & Ohio St,TA1306000029,41.890762,-87.631697,41.89259212,-87.61728913,member
FC2AFD2264CF186C,electric_bike,10/13/2022 18:13,10/13/2022 18:18,LaSalle St & Illinois St,13430,McClurg Ct & Ohio St,TA1306000029,41.89089477,-87.63166666,41.89259212,-87.61728913,member
92D8E948F6D1610F,electric_bike,10/14/2022 21:17,10/14/2022 21:32,LaSalle St & Illinois St,13430,Stetson Ave & South Water St,TA1308000029,41.89115417,-87.6316375,41.886835,-87.62232,casual
D3A8C5B4FC467E57,classic_bike,10/10/2022 17:00,10/10/2022 17:57,LaSalle St & Illinois St,13430,Kimball Ave & Belmont Ave,KA150400009X,41.890762,-87.631697,41.939398,-87.711561,casual
55602EAE7571996B,electric_bike,10/29/2022 21:55,10/29/2022 22:02,LaSalle St & Illinois St,13430,Stetson Ave & South Water St,TA1308000029,41.89080633,-87.63143867,41.886835,-87.62232,casual
6DFE2965B6E7D731,electric_bike,10/1/2022 0:17,10/1/2022 0:24,LaSalle St & Illinois St,13430,McClurg Ct & Ohio St,TA1306000029,41.89076367,-87.63171083,41.89259212,-87.61728913,casual
27F8A943405E18A7,electric_bike,10/7/2022 12:57,10/7/2022 13:03,LaSalle St & Illinois St,13430,McClurg Ct & Ohio St,TA1306000029,41.89087677,-87.6315583,41.89259212,-87.61728913,member
BCC3B0D0A5C3C78A,electric_bike,10/10/2022 20:28,10/10/2022 20:43,Harding Ave & 26th St,332,California Ave & 36th St,338,41.84,-87.72,41.83,-87.69,member
36169DAFC03BD88F,classic_bike,10/29/2022 18:10,10/29/2022 18:19,Rush St & Cedar St,KA1504000133,McClurg Ct & Ohio St,TA1306000029,41.9023087,-87.62769053,41.89259212,-87.61728913,member
8DF17B2812ABC57F,classic_bike,10/31/2022 13:10,10/31/2022 13:29,Stockton Dr & Wrightwood Ave,13276,McClurg Ct & Ohio St,TA1306000029,41.93132,-87.638742,41.89259212,-87.61728913,member
2B6C2A1D212B20F0,electric_bike,10/6/2022 11:07,10/6/2022 11:21,Rush St & Cedar St,KA1504000133,Desplaines St & Jackson Blvd,15539,41.90227509,-87.62771452,41.8781189,-87.6439476,member
CBBA12F6EF461CFF,electric_bike,10/30/2022 17:09,10/30/2022 17:16,Rush St & Cedar St,KA1504000133,McClurg Ct & Ohio St,TA1306000029,41.90241733,-87.6277325,41.89259212,-87.61728913,member
9CB6B0FF170B4F7E,classic_bike,10/15/2022 8:10,10/15/2022 8:15,Desplaines St & Kinzie St,TA1306000003,Desplaines St & Jackson Blvd,15539,41.88871604,-87.64444785,41.8781189,-87.6439476,member
CB11EE5E67512D40,classic_bike,10/14/2022 16:36,10/14/2022 16:42,LaSalle St & Illinois St,13430,McClurg Ct & Ohio St,TA1306000029,41.890762,-87.631697,41.89259212,-87.61728913,member
022D22ABCF3A33DF,classic_bike,10/31/2022 17:24,10/31/2022 17:30,LaSalle St & Illinois St,13430,McClurg Ct & Ohio St,TA1306000029,41.890762,-87.631697,41.89259212,-87.61728913,member
FB92C02BF3FDAA0A,classic_bike,10/6/2022 13:43,10/6/2022 13:53,LaSalle St & Illinois St,13430,McClurg Ct & Ohio St,TA1306000029,41.890762,-87.631697,41.89259212,-87.61728913,casual
6EA80770BE2EA147,electric_bike,10/20/2022 18:49,10/20/2022 19:20,LaSalle St & Illinois St,13430,Kosciuszko Park,15643,41.89062,-87.63171933,41.93058537,-87.72377736,casual
14663CE6D882339C,classic_bike,10/4/2022 8:22,10/4/2022 8:28,LaSalle St & Illinois St,13430,McClurg Ct & Ohio St,TA1306000029,41.890762,-87.631697,41.89259212,-87.61728913,member
51C9350B2CF7400D,classic_bike,10/26/2022 8:27,10/26/2022 8:35,LaSalle St & Illinois St,13430,McClurg Ct & Ohio St,TA1306000029,41.890762,-87.631697,41.89259212,-87.61728913,member
7C0E4CD041A21DBC,electric_bike,10/26/2022 6:37,10/26/2022 6:45,Desplaines St & Kinzie St,TA1306000003,McClurg Ct & Ohio St,TA1306000029,41.88845067,-87.64435533,41.89259212,-87.61728913,member
DE339F242CC100C3,classic_bike,10/10/2022 18:20,10/10/2022 18:34,Orleans St & Chestnut St (NEXT Apts),620,McClurg Ct & Ohio St,TA1306000029,41.898203,-87.637536,41.89259212,-87.61728913,member
C85B51A11DFA2745,classic_bike,10/23/2022 17:47,10/23/2022 17:53,Desplaines St & Kinzie St,TA1306000003,Desplaines St & Jackson Blvd,15539,41.88871604,-87.64444785,41.8781189,-87.6439476,member
8131801812B9AD9F,classic_bike,10/10/2022 7:51,10/10/2022 8:03,Orleans St & Chestnut St (NEXT Apts),620,McClurg Ct & Ohio St,TA1306000029,41.898203,-87.637536,41.89259212,-87.61728913,member
9C0B679957CB51F1,electric_bike,10/2/2022 17:33,10/2/2022 17:41,Desplaines St & Kinzie St,TA1306000003,McClurg Ct & Ohio St,TA1306000029,41.88847317,-87.64433333,41.89259212,-87.61728913,member
AC0AF6D4DED881E2,electric_bike,10/20/2022 21:16,10/20/2022 21:28,Desplaines St & Kinzie St,TA1306000003,McClurg Ct & Ohio St,TA1306000029,41.88839633,-87.64437583,41.89259212,-87.61728913,member
0CE4E56EF1B2DCBA,classic_bike,10/3/2022 7:36,10/3/2022 7:42,Desplaines St & Kinzie St,TA1306000003,Desplaines St & Jackson Blvd,15539,41.88871604,-87.64444785,41.8781189,-87.6439476,member
B48AFDA03D9ED8B4,classic_bike,10/22/2022 11:35,10/22/2022 11:39,LaSalle St & Illinois St,13430,McClurg Ct & Ohio St,TA1306000029,41.890762,-87.631697,41.89259212,-87.61728913,member
526E2EA2C6F43041,electric_bike,10/5/2022 6:37,10/5/2022 6:45,Desplaines St & Kinzie St,TA1306000003,McClurg Ct & Ohio St,TA1306000029,41.88874883,-87.64445083,41.89259212,-87.61728913,member
E302DEC6861AC52F,electric_bike,10/20/2022 8:00,10/20/2022 8:08,Desplaines St & Kinzie St,TA1306000003,Stetson Ave & South Water St,TA1308000029,41.8885485,-87.6443765,41.886835,-87.62232,member
048ADB90E1C03C05,classic_bike,10/21/2022 17:14,10/21/2022 17:20,Desplaines St & Kinzie St,TA1306000003,Desplaines St & Jackson Blvd,15539,41.88871604,-87.64444785,41.8781189,-87.6439476,member
D0F8EC29EC96A726,electric_bike,10/24/2022 6:47,10/24/2022 6:55,Orleans St & Chestnut St (NEXT Apts),620,McClurg Ct & Ohio St,TA1306000029,41.89812283,-87.6375115,41.89259212,-87.61728913,member
1C1FF0D2853F5E10,electric_bike,10/25/2022 19:52,10/25/2022 20:01,Orleans St & Chestnut St (NEXT Apts),620,McClurg Ct & Ohio St,TA1306000029,41.89791751,-87.63754106,41.89259212,-87.61728913,member
F1954CC4F74D8AE2,electric_bike,10/20/2022 18:23,10/20/2022 18:30,Desplaines St & Kinzie St,TA1306000003,Desplaines St & Jackson Blvd,15539,41.888634,-87.64441533,41.8781189,-87.6439476,member
9647F029EFB38236,classic_bike,10/1/2022 11:15,10/1/2022 11:21,LaSalle St & Illinois St,13430,McClurg Ct & Ohio St,TA1306000029,41.890762,-87.631697,41.89259212,-87.61728913,member
68C658395006A72F,classic_bike,10/6/2022 18:50,10/6/2022 18:55,LaSalle St & Illinois St,13430,McClurg Ct & Ohio St,TA1306000029,41.890762,-87.631697,41.89259212,-87.61728913,member
7701623BA433BD6B,classic_bike,10/9/2022 11:02,10/9/2022 12:01,LaSalle St & Illinois St,13430,Desplaines St & Jackson Blvd,15539,41.890762,-87.631697,41.8781189,-87.6439476,casual
FE0B9B7E78452EEC,electric_bike,10/1/2022 23:38,10/1/2022 23:44,LaSalle St & Illinois St,13430,McClurg Ct & Ohio St,TA1306000029,41.89082633,-87.6316815,41.89259212,-87.61728913,casual
1C42F7468EC173FD,classic_bike,10/9/2022 10:56,10/9/2022 12:01,LaSalle St & Illinois St,13430,Desplaines St & Jackson Blvd,15539,41.890762,-87.631697,41.8781189,-87.6439476,casual
83DF2856F6A0CB5F,electric_bike,10/3/2022 7:52,10/3/2022 8:00,Orleans St & Chestnut St (NEXT Apts),620,McClurg Ct & Ohio St,TA1306000029,41.89810267,-87.63738283,41.89259212,-87.61728913,member
4C284085E2AC48AB,electric_bike,10/31/2022 20:30,10/31/2022 20:40,Desplaines St & Kinzie St,TA1306000003,McClurg Ct & Ohio St,TA1306000029,41.88840333,-87.644057,41.89259212,-87.61728913,member
68874C6E75A2E8BE,electric_bike,10/21/2022 22:12,10/21/2022 22:20,Desplaines St & Kinzie St,TA1306000003,McClurg Ct & Ohio St,TA1306000029,41.88870454,-87.64445269,41.89259212,-87.61728913,member
D840D1554BD57A2E,classic_bike,10/9/2022 16:26,10/9/2022 16:38,Desplaines St & Kinzie St,TA1306000003,Desplaines St & Jackson Blvd,15539,41.88871604,-87.64444785,41.8781189,-87.6439476,member
